2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 0.9696969696969697, Precision: 0.9696969696969697, Recall: 0.9696969696969697
2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 14:37:17 [INFO]: Evaluation results - Accuracy: 0.9696969696969697, Precision: 0.9696969696969697, Recall: 0.9696969696969697
2024-02-07 14:37:18 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 0.9696969696969697, Precision: 0.9696969696969697, Recall: 0.9696969696969697
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:13:07 [INFO]: Evaluation results - Accuracy: 0.9696969696969697, Precision: 0.9696969696969697, Recall: 0.9696969696969697
2024-02-07 21:13:08 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:23:05 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:23:05 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:23:05 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:23:05 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:23:06 [INFO]: Evaluation results - Accuracy: 0.9696969696969697, Precision: 0.9696969696969697, Recall: 0.9696969696969697
2024-02-07 21:23:06 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-07 21:23:06 [INFO]: Evaluation results - Accuracy: 0.9696969696969697, Precision: 0.9696969696969697, Recall: 0.9696969696969697
2024-02-07 21:23:06 [INFO]: Evaluation results - Accuracy: 1.0, Precision: 1.0, Recall: 1.0
2024-02-08 18:30:02 [WARNING]: Retrying (Retry(total=4, connect=4, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026A40CE2050>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /api/2.0/mlflow/runs/create
2024-02-08 18:30:11 [WARNING]: Retrying (Retry(total=3, connect=3, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026A41024E90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /api/2.0/mlflow/runs/create
2024-02-08 18:30:23 [WARNING]: Retrying (Retry(total=2, connect=2, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026A3F25BA50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /api/2.0/mlflow/runs/create
2024-02-08 18:30:43 [WARNING]: Retrying (Retry(total=1, connect=1, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026A41006090>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /api/2.0/mlflow/runs/create
2024-02-08 18:31:19 [WARNING]: Retrying (Retry(total=0, connect=0, read=5, redirect=5, status=5)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000026A410072D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /api/2.0/mlflow/runs/create
2024-02-08 18:39:47 [INFO]: Cross-validation results - Metric: accuracy, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:47 [INFO]: Cross-validation results - Metric: precision, Mean Score: 0.9666666666666666, Std Score: 0.06666666666666665
2024-02-08 18:39:48 [INFO]: Cross-validation results - Metric: recall, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:49 [INFO]: Cross-validation results - Metric: accuracy, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:49 [INFO]: Cross-validation results - Metric: precision, Mean Score: 0.9666666666666666, Std Score: 0.06666666666666665
2024-02-08 18:39:50 [INFO]: Cross-validation results - Metric: recall, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:50 [INFO]: Cross-validation results - Metric: accuracy, Mean Score: 0.9666666666666666, Std Score: 0.06666666666666665
2024-02-08 18:39:51 [INFO]: Cross-validation results - Metric: precision, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:51 [INFO]: Cross-validation results - Metric: recall, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:52 [INFO]: Cross-validation results - Metric: accuracy, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:52 [INFO]: Cross-validation results - Metric: precision, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:53 [INFO]: Cross-validation results - Metric: recall, Mean Score: 1.0, Std Score: 0.0
2024-02-08 18:39:53 [INFO]: Cross-validation results - Metric: accuracy, Mean Score: 0.9714285714285715, Std Score: 0.05714285714285716
